Artikelnummer;Name;Einheit;Bestand;"Bestand aktiviert";Umsatzsteuer;Einkaufspreis;Verkaufspreis;Kategorie;Beschreibung
1178;"SIGENERGY Hybrid Wechselrichter 4.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.590,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1177;"SIGENERGY Hybrid Wechselrichter 3.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.490,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1176;"GROWATT Smart Meter 3-phasig 80A";Stk;0,00;1;20,00;0,00;379,00;Growatt;"Der TPM-C Stromzähler (DTSU666) von Growatt ist eine 3-phasige Komplettlösung für Netzexportbegrenzungen und Eigenverbrauchsüberwachung, deren Daten über ein LCD-Display abgelesen werden kann. Er zeichnet sich durch eine hohe Messgenauigkeit und einfache Installation durch Plug and Play aus. Mit RS485-Kommunikation und direkten Anschlüssen, ist der Stromzähler mit sehr vielen Wechselrichtern von Growatt kompatibel."
1175;"GROWATT SYN Back-Up Box";Stk;0,00;1;20,00;0,00;990,00;Growatt;"Eine Back-Up Box zur Notstromersatzerzeugung kann hinzugezogen werden. Sie ist in der Lage im Falle eines Stromausfalls, bis zu 10kWh aus dem Solarspeicher zur Verfügung zu stellen."
1174;"GROWATT APX BMS & Batteriebasis";Stk;0,00;1;20,00;0,00;990,00;Growatt;"Der Aufbau beinhaltet ein Batteriemanagementsystem der neuesten Generation, welches die Batteriemodule vor widrigen Bedingungen schützt und eine Batteriebasis, die für einen sicheren Stand bei der Bodeninstallation sorgt."
1173;"GROWATT APX 5.0 Batterie";Stk;0,00;1;20,00;0,00;1.990,00;Growatt;"Das APX Batteriesystem zeigt hierbei seine flexiblen Konfigurationsmöglichkeiten. Diese sind von 5kWh bis zu 30kWh erweiterbar. Durch das einfache Design, gestaltet sich die Installation und Erweiterung sehr unkompliziert mit Hilfe von Kabeln. Ein weiterer Fortschritt des neuen Speichersystems besteht darin, dass im Gegensatz zu anderen Systemen, kein Batterieschrank mehr benötigt wird. Du benötigst lediglich die dazugehörige Batteriebasis, die bei diesem Speichersystem inklusive ist. Die APX-Serie unterstützt das Kombinieren von gemischten Batterie-Packs aus neuen und alten Chargen, sowie unterschiedlichen Kapazitäten."
1172;"GROWATT MOD 10KTL";Stk;0,00;1;20,00;0,00;2.690,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1171;"GROWATT MOD 9KTL";Stk;0,00;1;20,00;0,00;2.590,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1170;"GROWATT MOD 8KTL";Stk;0,00;1;20,00;0,00;2.490,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1169;"GROWATT MOD 7KTL";Stk;0,00;1;20,00;0,00;2.390,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1168;"GROWATT MOD 6KTL";Stk;0,00;1;20,00;0,00;2.290,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1167;"GROWATT MOD 5KTL";Stk;0,00;1;20,00;0,00;2.190,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1166;"GROWATT MOD 4KTL";Stk;0,00;1;20,00;0,00;2.090,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1165;"GROWATT MOD 3KTL";Stk;0,00;1;20,00;0,00;1.990,00;Growatt;"Der Growatt MOD Hybrid-Inverter ist ein 3-phasiger Wechselrichter, der mit seiner hohen Leistung und seiner Kompaktheit für einen einfachen und benutzerfreundlichen Betrieb großer Solaranlagen sorgt. Der Inverter zeichnet sich durch einen hohen Wirkungsgrad von 98,3 % aus, was ihn zu einem leistungsstarken und flexiblen Gerät bei der Konfiguration einer Anlage macht. Neben 2 unabhängigen MPPT-Eingängen und einer maximalen PV-Leistung von 6000W, verfügt der Wechselrichter auch über ein OLED-Touch-Display, was von großen Vorteil für eine einfache und unkomplizierte Bedienung ist. Zusätzlich lassen sich Lasten und Batterien anschließen. Hierzu kompatibel ist das APX Batteriesystem. Optional kann die MOD-XH-BP-Serie mit der SYN 50 XH 30 - Backup-Box kombiniert werden, um einen Offgrid-Betrieb zu erreichen."
1164;"SIGENERGY GarantiePlus 15";Stk;0,00;1;20,00;0,00;1.490,00;SigEnergy;"15 Jahre Garantie auf Wechselrichter & Speicher! „GarantiePlus 15“ beinhaltet eine erweiterte Garantie für eine beeindruckende Dauer von 15 Jahren. Somit ist es deutlich mehr als nur eine Standardgarantie und vermittelt 15 Jahre Sicherheit bei der Stromproduktion."
1163;"SIGENERGY SparSmart KI";Stk;0,00;1;20,00;0,00;990,00;SigEnergy;"Künstliche Intelligenz zur automatischen Strompreisoptimierung. • Überwacht Strompreise • Lädt Speicher bei günstigem Strom • Steigert Selbstverbrauch • Maximiert monatliche Einsparung"
1162;"NOTSTROMSCHALTER MANUELL";Stk;0,00;1;20,00;250,00;750,00;Standard;"Erhöht die Versorgungssicherheit – ermöglicht manuelles Umschalten auf Notstrombetrieb. Ideal für Haushalte, die maximale Unabhängigkeit wünschen."
1161;"SIGENERGY Batteriemodul 10.0";Stk;0,00;1;20,00;2.520,00;5.990,00;SigEnergy;"Hochleistungsbatterie mit KI-Technologie – maximale Unabhängigkeit & Sicherheit. • Nettospeicher: 8.76 kWh • Extrem lange Lebensdauer • KI-Optimierung zur Verlängerung der Batterienutzung • Kompakte Bauform (61,5 kg, 260 × 767 × 270 mm) • App-Überwachung in Echtzeit • bis zu 15 Jahre Garantielaufzeit"
1160;"SIGENERGY Batteriemodul 6 kWh";Stk;0,00;1;20,00;1.965,00;4.100,00;SigEnergy;"Dieses Batteriesystem bietet hohe Zellkapazität und lange Lebensdauer bei geringer Spannung. Ein umfassendes Sicherheitskonzept schützt die Batterie, deren Zustand bequem über die mySigen-App überwacht werden kann. Die einfache Installation wird durch Steckverbinder gewährleistet, während KI-Technologie die Batterielaufzeit optimiert. Dank der Möglichkeit zu parallelen Verbindungen lassen sich verschiedene Batteriekonfigurationen realisieren, was Flexibilität in der Anwendung garantiert. • Abmessungen: 260 × 767 × 270 mm (H x B x T) • Gewicht: 61,50 kg"
1159;"SIGENERGY Energy Controller 30kW";Stk;0,00;1;20,00;2.806,00;4.500,00;SigEnergy;"Der Sigen Hybrid-Wechselrichter von Sigenergy vereint Effizienz und Sicherheit für Solaranlagen. Mit bis zu vier MPP-Trackern optimiert er die Energiegewinnung und deckt alle PV-Module auf einem Dach ab. Die robuste Konstruktion gewährleistet Schutz vor Staub und Regen (IP66) und beinhaltet Sicherheitsfunktionen wie DC-Fehlerstromschutz. Mit einer hohen DC/AC-Ratio von bis zu 2 erreicht der Wechselrichter eine maximale Effizienz von 98,5%. Er bietet die Flexibilität, Batterien nachzurüsten, um das Solarsystem zu erweitern, und lässt sich intuitiv über die mySigen App steuern. • Abmessungen: 260 × 700 × 200 mm (H x B x T) • Gewicht: 36 kg"
1158;"HUAWEI-LUNA2000 7kWh SPEICHERSYSTEM";Stk;0,00;1;20,00;3.262,57;4.500,00;Huawei;"Die Huawei Luna Smart String Batterie bietet eine modulare Lösung, die genau auf Ihre Bedürfnisse zugeschnitten ist. Mit 7 kWh, 14 kWh oder 21 kWh und der Möglichkeit zur nachträglichen Erweiterung ist die Luna Batterie ideal, um auf geänderte Bedürfnisse reagieren zu können. In Kombination mit dem optionalen PV Optimizer erhalten Sie ein leistungsstarkes System mit hoher Effizienz."
1156;"HUAWEI WR-SUN2000-10K-MAP0";Stk;0,00;1;20,00;0,00;1.700,00;Standard;"Schon seit Jahren ist der global agierende Hersteller Huawei erfolgreich im Photovoltaik- und Speichermarkt unterwegs. Dies zeigt sich auch in einer breiten Palette an Wechselrichtern für jeden Anwendungsfall. Egal ob XXL Großanlage oder anspruchsvolles Komplettsystem mit Speicher und intelligentem Zubehör im Heimgebrauch. Dank der direkten Anbindung des hauseigenen LUNA Hochvoltspeichers sowie der Moduloptimierer bieten die 3-phasigen Geräte der M1-Serie maximale Flexibilität im Residential-Bereich. Eine umfangreiche Palette an Kommunikations- und Schutzkomponenten plus Backup-Funktion rundet alles ideal ab. Produktvorteile: • 13,5 A Eingangsstrom pro MPPT • WLAN-FE Dongle bei Wechselrichter enthalten • Auch mit Huawei Optimierern kompatibel Produkteigenschaften: • AC-Leistung: 10,0 kW • Anzahl MPPT: 2 • Überspannungsschutz: Typ 2 AC + DC • AC-Anschluss: 3-phasig • Kommunikation: RS485, WLAN / LAN mit Dongle • Schutzklasse: IP65 • Kühlung: passiv • Abmessungen: 470 x 525 x 146 mm (H x B x T) • Gewicht: 17,0 kg"
1157;"HUAWEI-LUNA2000 14kWh SPEICHERSYSTEM";Stk;0,00;1;20,00;0,00;6.100,00;Standard;"Huawei ESS LUNA2000-14-S1 Schon seit Jahren ist der global agierende Hersteller Huawei erfolgreich im Photovoltaik- und Speichermarkt unterwegs. Dies zeigt sich in einem breiten Sortiment an Wechselrichtern von klein bis Extragroß. Auch die LUNA Hochvoltspeicher Serie erhält mit der neuen S1 Linie frischen Zuwachs. Mehr Kapazität und folglich höhere Ladeleistungen wurden mit der bewährten LUNA DNA kombiniert. Noch einfachere und schnellere Installation dank neuem Stecksystem sowie flexible Nachrüstung über intelligente Systemregelung. Im Parallelbetrieb mit 2 Türmen stehen bis zu 41,4 kWh nutzbare Speicherkapazität zur Verfügung. Produktvorteile: • Zeitlich unbegrenzt erweiterbar • Bis zu 2 Batterietürme mit gesamt 41,4 kWh kaskadierbar • Neues Stecksystem ersetzt die manuelle Verkabelung der einzelnen Elemente • Zertifizierte Batteriesicherheit nach VDE 2510-50 Produkteigenschaften: • Batteriekapazität (nutzbar): 13,8 kWh • Zeitfenster Erweiterung: unbegrenzt • Kaskadierbar: bis zu 2 Türme parallel (41,4 kWh) • Zellchemie: LFP • Ladeleistung: 7,0 kW • Schutzklasse: IP66 • Abmessungen: 870 x 590 x 255 mm (H x B x T) • Gewicht: BMS + Sockel: 12,0 kg, 2 x Speicher je 68,0 kg • Garantie: 15 Jahre"
1155;undefined;Stk;0,00;1;0,00;0,00;0,00;Standard;
1154;"Panasonic TZ Single-Split 2,5 kW SET";Stk;0,00;1;20,00;770,00;1.480,00;Klima;"Außengerät 2,5kW: CU-TZ20ZKE 400 x 600 x 890 mm Innengerät 2,5kW: CS-TZ20ZKEW 799 x 290 x 197 mm"
1153;"MONTAGESET PV ZAUN";Stk;0,00;1;20,00;0,00;155,00;Unterkonstruktion;"Befestigungskomponenten: Steher (eloxiert), Stockschrauben, Schienen, Modulklemmen"
1152;"Fronius Reserva 9.5 Batteriespeicher 9,50 kWh";Stk;0,00;1;0,00;0,00;5.627,00;Fronius;"Reserva ist die neue Photovoltaik-Speicherlösung von Fronius. Die effiziente DC-gekoppelte Hochvoltbatterie sorgt für die Speicherung von Solarenergie mit minimalen Verlusten. Flexibel erweiterbar mit zwei bis fünf Modulen und einer Kapazität von 6,3 bis 15,8 kWh, ist sie perfekt auf Fronius Hybrid-Wechselrichter abgestimmt – für maximale Leistung. Alle wichtigen Informationen des Reserva werden in der Monitoring-Plattform Solar.web anschaulich visualisiert und erfüllen dabei sämtliche Datenschutzrichtlinien. Die Speicherung der Daten erfolgt dabei ausschließich auf europäischen Servern. Der gewohnt schnelle Service von Fronius sorgt für höchste Zuverlässigkeit. Fronius setzt selbstverständlich auch auf höchste Sicherheitsstandards und erfüllt die aktuellen Informationssicherheitsnormen (ISO27001) und lässt regelmäßige Security Audits von renommierten Firmen durchführen. Das optimale Zusammenspiel im Fronius-Ökosystem sorgt für einen effizienten und zuverlässigen Betrieb der gesamten PV-Anlage. Ein Ansprechpartner für alles genügt."
1151;"Fronius Reserva 12.6 Batteriespeicher 12,60 kWh";Stk;0,00;1;0,00;0,00;6.690,00;Fronius;"Reserva ist die neue Photovoltaik-Speicherlösung von Fronius. Die effiziente DC-gekoppelte Hochvoltbatterie sorgt für die Speicherung von Solarenergie mit minimalen Verlusten. Flexibel erweiterbar mit zwei bis fünf Modulen und einer Kapazität von 6,3 bis 15,8 kWh, ist sie perfekt auf Fronius Hybrid-Wechselrichter abgestimmt – für maximale Leistung. Alle wichtigen Informationen des Reserva werden in der Monitoring-Plattform Solar.web anschaulich visualisiert und erfüllen dabei sämtliche Datenschutzrichtlinien. Die Speicherung der Daten erfolgt dabei ausschließich auf europäischen Servern. Der gewohnt schnelle Service von Fronius sorgt für höchste Zuverlässigkeit. Fronius setzt selbstverständlich auch auf höchste Sicherheitsstandards und erfüllt die aktuellen Informationssicherheitsnormen (ISO27001) und lässt regelmäßige Security Audits von renommierten Firmen durchführen. Das optimale Zusammenspiel im Fronius-Ökosystem sorgt für einen effizienten und zuverlässigen Betrieb der gesamten PV-Anlage. Ein Ansprechpartner für alles genügt."
1150;"Fronius Reserva 15.8 Batteriespeicher 15,79 kWh";Stk;0,00;1;20,00;0,00;7.530,00;Fronius;"Reserva ist die neue Photovoltaik-Speicherlösung von Fronius. Die effiziente DC-gekoppelte Hochvoltbatterie sorgt für die Speicherung von Solarenergie mit minimalen Verlusten. Flexibel erweiterbar mit zwei bis fünf Modulen und einer Kapazität von 6,3 bis 15,8 kWh, ist sie perfekt auf Fronius Hybrid-Wechselrichter abgestimmt – für maximale Leistung. Alle wichtigen Informationen des Reserva werden in der Monitoring-Plattform Solar.web anschaulich visualisiert und erfüllen dabei sämtliche Datenschutzrichtlinien. Die Speicherung der Daten erfolgt dabei ausschließich auf europäischen Servern. Der gewohnt schnelle Service von Fronius sorgt für höchste Zuverlässigkeit. Fronius setzt selbstverständlich auch auf höchste Sicherheitsstandards und erfüllt die aktuellen Informationssicherheitsnormen (ISO27001) und lässt regelmäßige Security Audits von renommierten Firmen durchführen. Das optimale Zusammenspiel im Fronius-Ökosystem sorgt für einen effizienten und zuverlässigen Betrieb der gesamten PV-Anlage. Ein Ansprechpartner für alles genügt."
1149;"KLEINKOMPONENTEN KLIMA";Stk;0,00;1;20,00;0,00;990,00;Klima;
1148;"Panasonic TZ Single-Split 5,0 kW SET";Stk;0,00;1;0,00;1.139,00;2.200,00;WP;"Außengerät 5,0kW: CU-TZ50ZKE 420 x 680 x 960 mm Innengerät 5,0kW: CS-TZ50ZKEW 799 x 290 x 197 mm"
1147;"Panasonic TZ Single-Split 4,2 kW SET";Stk;0,00;1;20,00;1.035,00;1.790,00;Klima;"Außengerät 3,5kW: CU-TZ42ZKE 400 x 600 x 890 mm Innengerät 3,5kW: CS-TZ42ZKEW 799 x 290 x 197 mm"
1146;"Panasonic TZ Single-Split 3,5 kW SET";Stk;0,00;1;20,00;878,00;1.690,00;Klima;"Außengerät 3,5kW: CS-TZ35ZKEW 400 x 600 x 890 mm Innengerät 3,5kW: CS-TZ35ZKEW 799 x 290 x 197 mm"
1145;"Panasonic TZ Single-Split 2,0 kW SET";Stk;0,00;1;20,00;680,00;1.290,00;Klima;"Außengerät 2,0kW: CU-TZ20ZKE 400 x 600 x 890 mm Innengerät 2,0kW: CS-TZ20ZKEW 799 x 290 x 197 mm"
1144;"SUNOVA-GLAS-GLAS HOCHLEISTUNGS-SOLARMODUL FULL BLACK 460 WP";Stk;0,00;1;20,00;60,00;90,00;Module;"Doppelglas für max. Zuverlässigkeit: • Ausgezeichnete Beständigkeit gegen Feuer und bei schwierigen Umweltbedingungen • 5.400 Pa Scheelast und 4.000 Pa Windlast (Testlasten) Garantie: • 25 Jahre Produktgarantie auf die Verarbeitung und 30 Jahre Leistungsgarantie"
1143;"SIGENERGY GARANTIE ERWEITERUNG AUF 15 JAHRE";Stk;0,00;1;20,00;0,00;1.400,00;SigEnergy;"Garantieerweiterung für KW Wechselrichter + kWh Speicher"
1142;"HUAWEI Energy Management EMMA-A02";Stk;0,00;1;0,00;461,00;750,00;Standard;"EMMA ist ein intelligentes Device, das Energieplanung, Energiemanagement und Energieflussverteilung optimiert. Das KI-gestützte Energiemanagementsystem kann auch für die intelligente Steuerung von Heizkörpern und Wärmepumpen eingesetzt werden. Durch die digitalen Ein- und Ausgänge mit Smart-Grid-fähigen Kontakten ist es möglich, eine Wärmepumpe zu aktivieren und zu deaktivieren."
1141;"Huawei LUNA2000-7-S1 PV Speicher Batterie";Stk;0,00;1;0,00;3.400,00;5.400,00;Standard;"Die Huawei Luna Smart String Batterie bietet eine modulare Lösung, die genau auf Ihre Bedürfnisse zugeschnitten ist. Mit 7 kWh, 14 kWh oder 21 kWh und der Möglichkeit zur nachträglichen Erweiterung ist die Luna Batterie ideal, um auf geänderte Bedürfnisse reagieren zu können. In Kombination mit dem optionalen PV Optimizer erhalten Sie ein leistungsstarkes System mit hoher Effizienz. Nutzbare Energie: 6.9kWhMax. Entladeleistung: 3.5 kW"
1140;"Huawei Wechselrichter SUN2000-10K-MAP0";Stk;0,00;1;0,00;1.360,00;2.300,00;Standard;"Der Wechselrichter HUAWEI SUN2000-10K-MAP0 zeichnet sich durch eine dreiphasige asymmetrische Ausgangsleistung aus. Dank seiner innovativen technischen Merkmale ist dieser Wechselrichter die ideale Wahl für diejenigen, die ihre Eigenverbrauchsquote maximieren möchten. Er passt die Ausgangsleistung jeder Phase dynamisch und unabhängig an die aktuelle Lastleistung an. Der SUN2000-10K-MAP0 eignet sich perfekt für den Einsatz in Kombination mit der LUNA Smart String Speicherbatterie, der SmartGuard Backup-Lösung und EMMA, dem Energiemanagement-Assistenten von Huawei."
1139;"GARANTIEVERLÄNGERUNG WECHSELRICHTER";Stk;0,00;1;20,00;220,00;650,00;SigEnergy;"5 Jahre Garantie-Erweiterung Sigenergy GV für 3~ Wechselrichter"
1138;"GARANTIEVERLÄNGERUNG SPEICHER";Stk;0,00;1;20,00;230,00;750,00;SigEnergy;"5 Jahre Garantie-Erweiterung Sigenergy GV für SigenStor BAT 8.0"
